user_id,conditions,final_payoff,age,attention,block_number,trial_number,p_inspection,inspection,points_right,points_left,exchange_ratio,basic_payment,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,bonus,final_payment
56100d727ffc8a0005811338,no_enforcement2,277,8600,200,300,10100,0,0,2626,2374,200000,289.9999999999989,277,323,187,53.18199999999998,1300,2600,27700,55.40000000000013,345.3999999999991
578f9f52eeaf6d00018d4f20,no_enforcement2,398,5970,199,298,10096,0,0,2615,2360,199000,288.54999999999893,398,199,81,31.375,11741,23482,39602,79.20200000000008,367.75200000000166
595bf7acc76e6700014d33fc,low_enforcement,1170,10400,200,300,10100,2000,27,2626,2374,200000,289.9999999999989,1170,-2190,178,9.200000000000001,2200,4400,117000,233.99999999999903,524.0000000000007
59e7276d5de9b000017ed1c1,no_enforcement2,325,7600,0,300,10100,0,0,2374,2626,200000,289.9999999999989,325,275,153,68.15600000000002,4700,9400,32500,65.00000000000024,354.9999999999993
5b01842bc573030001c345e0,high_enforcement,1597,8800,200,300,10100,18000,177,2374,2626,200000,289.9999999999989,1597,-1497,171,30.477999999999994,2900,5800,159700,319.3999999999997,609.4000000000027
5c8d2f74e775150016db3700,high_enforcement,1553,4000,0,300,10100,18000,186,2626,2374,200000,289.9999999999989,1553,-1373,185,34.403000000000006,1500,3000,155300,310.59999999999957,600.5999999999995
5c91c01129b394001a4e473b,no_enforcement2,283,4600,200,300,10100,0,0,2374,2626,200000,289.9999999999989,283,317,183,32.44,1700,3400,28300,56.600000000000165,346.6000000000006
5da6a24a5b8ad1001570f6ae,high_enforcement,1760,12200,200,300,10100,18000,182,2626,2374,200000,289.9999999999989,1760,-1540,180,55.71799999999997,2000,4000,176000,351.99999999999903,642.0
5ddaf4f37aa0d6a6c2c53af6,low_enforcement,1409,5400,200,300,10100,2000,21,2626,2374,200000,289.9999999999989,1409,-1889,161,13.983999999999995,3900,7800,140900,281.7999999999994,571.7999999999993
5e3974014e49b0000aea3d11,no_enforcement2,320,4200,200,300,10100,0,0,2374,2626,200000,289.9999999999989,320,280,162,26.625000000000007,3800,7600,32000,64.00000000000004,353.99999999999966
5e760b4d39c441170d9c9f1b,low_enforcement,1313,5400,200,300,10100,2000,25,2374,2626,200000,289.9999999999989,1313,-2153,185,13.195000000000004,1500,3000,131300,262.59999999999894,552.5999999999987
5e91d94b473d044febfef650,no_enforcement2,291,3600,200,300,10100,0,0,2626,2374,200000,289.9999999999989,291,309,169,34.809,3100,6200,29100,58.19999999999975,348.2000000000003
5eae4c54e1015a50baf832cb,high_enforcement,1561,5200,0,300,10100,18000,188,2626,2374,200000,289.9999999999989,1561,-1641,171,44.48799999999999,2900,5800,156100,312.2000000000001,602.2000000000008
5ecc3b8a119a5e800ca47d80,high_enforcement,1344,4000,0,300,10100,18000,186,2374,2626,200000,289.9999999999989,1344,-1544,164,31.013999999999996,3600,7200,134400,268.79999999999916,558.7999999999986
5ecd6addd559270c48385571,low_enforcement,1465,4000,200,300,10100,2000,19,2374,2626,200000,289.9999999999989,1465,-1225,183,56.82,1700,3400,146500,292.9999999999999,583.0000000000007
