user_id,conditions,final_payoff,age,attention,block_number,trial_number,p_inspection,inspection,fine_size,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,block_payoff,bonus,final_payment,error,b1_cheating,b2_cheating,b1_sum,b2_sum
56100d727ffc8a0005811338,3,277,5074,118,177,5709,0,0,0,122,232,114,33.39999999999998,767,16343,32.68600000000004,203.78600000000026,4,3,1,177,59
578f9f52eeaf6d00018d4f20,3,398,3540,118,177,5710,0,0,0,236,118,0,23.966,6962,23482,46.9640000000001,218.0640000000006,118,59,59,3481,3481
595bf7acc76e6700014d33fc,2,1170,6136,118,177,6247,1180,19,3420,-147,-1155,113,5.064999999999998,1298,69030,138.06000000000006,309.16000000000037,5,3,2,177,118
59e7276d5de9b000017ed1c1,3,325,4484,0,177,5848,0,0,0,163,191,73,47.221,2773,19175,38.35000000000001,209.45000000000041,45,12,33,708,1947
5b01842bc573030001c345e0,1,1597,5192,118,177,5961,10620,104,2080,93,-195,93,19.031,1711,94223,188.4460000000001,359.5460000000007,25,17,8,1003,472
5c8d2f74e775150016db3700,1,1553,2360,0,177,5898,10620,111,2220,108,-50,108,19.11100000000001,885,91627,183.25399999999976,354.35399999999896,10,2,8,118,472
5c91c01129b394001a4e473b,3,283,2714,118,177,6266,0,0,0,127,227,109,19.489000000000004,1003,16697,33.39400000000006,204.49400000000028,9,2,7,118,413
5da6a24a5b8ad1001570f6ae,1,1760,7198,118,177,5831,10620,107,2140,159,-141,99,32.61900000000001,1180,103840,207.67999999999975,378.7799999999994,19,10,9,590,531
5ddaf4f37aa0d6a6c2c53af6,2,1409,3186,118,177,5916,1180,12,2160,44,-446,84,7.697000000000002,2301,83131,166.26200000000003,337.36199999999974,34,23,11,1357,649
5e3974014e49b0000aea3d11,3,320,2478,118,177,6123,0,0,0,156,198,80,18.316000000000003,2242,18880,37.760000000000026,208.86000000000038,38,17,21,1003,1239
5e760b4d39c441170d9c9f1b,2,1313,3186,118,177,6114,1180,12,2160,-232,10,108,8.086,885,77467,154.9339999999999,326.0339999999997,10,7,3,413,177
5e91d94b473d044febfef650,3,291,2124,118,177,5871,0,0,0,138,216,98,20.533000000000012,1829,17169,34.33800000000001,205.4380000000006,20,14,6,826,354
5eae4c54e1015a50baf832cb,1,1561,3068,0,177,6024,10620,111,2220,155,-297,95,26.798000000000002,1711,92099,184.19800000000055,355.2980000000005,23,11,12,649,708
5ecc3b8a119a5e800ca47d80,1,1344,2360,0,177,5435,10620,109,2180,113,-295,93,19.117000000000004,2124,79296,158.59199999999962,329.69199999999995,25,13,12,767,708
5ecd6addd559270c48385571,2,1465,2360,118,177,5857,1180,12,2160,-137,-85,103,33.06199999999999,1003,86435,172.87000000000032,343.9700000000004,15,9,6,531,354
